SchoolYear|DistrictCode|DistrictName|StudentGroup|StudentGroupType|BeginningGrade9|FinalCohort|Graduate|GraduationRate|TransferIn|Year1Dropout|Year2Dropout|Year3Dropout|Year4Dropout|Year5Dropout|Year6Dropout|Year7Dropout|TransferOut|SchoolCode|SchoolName|CohortType|CohortYearTTL|Horizons.Partner
2020-21|18303|Bainbridge Island School District|Non Section 504|504|259|265|254|0.958490566|||||||||||||2020|PREP - Tier 2
2019-20|18303|Bainbridge Island School District|Non Section 504|504|248|249|239|0.959839357|||||||||||||2019|PREP - Tier 2
2018-19|18303|Bainbridge Island School District|Non Section 504|504||||0.967|||||||||||||2018|PREP - Tier 2
2017-18|18303|Bainbridge Island School District|Non Section 504|504||||0.954|||||||||||||2017|PREP - Tier 2
2016-17|18303|Bainbridge Island School District|Non Section 504|504|289|293|285|0.972696246|||||||||||||2016|PREP - Tier 2
2015-16|18303|Bainbridge Island School District|Non Section 504|504|295|296|287|0.969594595|||||||||||||2015|PREP - Tier 2
2014-15|18303|Bainbridge Island School District|Non Section 504|504|303|302|289|0.956953642|||||||||||||2014|PREP - Tier 2
2020-21|18303|Bainbridge Island School District|Section 504|504||||0.95|||||||||||||2020|PREP - Tier 2
2019-20|18303|Bainbridge Island School District|Section 504|504||||0.96|||||||||||||2019|PREP - Tier 2
2018-19|18303|Bainbridge Island School District|Section 504|504|59|61|53|0.868852459|||||||||||||2018|PREP - Tier 2
2017-18|18303|Bainbridge Island School District|Section 504|504||||0.92|||||||||||||2017|PREP - Tier 2
2016-17|18303|Bainbridge Island School District|Section 504|504||||0.87|||||||||||||2016|PREP - Tier 2
2015-16|18303|Bainbridge Island School District|Section 504|504||||0.88|||||||||||||2015|PREP - Tier 2
2014-15|18303|Bainbridge Island School District|Section 504|504||||0.933|||||||||||||2014|PREP - Tier 2
2020-21|18303|Bainbridge Island School District|All Students|All||||0.955|||||||||||||2020|PREP - Tier 2
2019-20|18303|Bainbridge Island School District|All Students|All||||0.96|||||||||||||2019|PREP - Tier 2
