SchoolYear|DistrictCode|DistrictName|FinalCohort|Graduate|CohortYearTTL|Horizons.Partner|DistrictTTL|PSEnrollLevel|Pct|Cohort Enrollment Rate|SchoolTTL|PSOrganizationTTL|Enrollees
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Bellevue|2 Year / CTC|0.13||District Wide|Bellevue|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Chehalis|4 Year|0.24||District Wide|Private/OOS - 4Yr|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Colfax|4 Year|0.62||District Wide|Private/OOS - 4Yr|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Colville|2 Year / CTC|0.09||District Wide|Spokane Falls|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Elma|4 Year|0.15||District Wide|Private/OOS - 4Yr|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Ferndale|4 Year|0.24||District Wide|Private/OOS - 4Yr|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Grandview|2 Year / CTC|0.18||District Wide|Columbia Basin|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Issaquah|2 Year / CTC|0.13||District Wide|Bellevue|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Lake Chelan|2 Year / CTC|0.26||District Wide|Wenatchee Valley|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Marysville|4 Year|0.2||District Wide|Private/OOS - 4Yr|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Nine Mile Falls|2 Year / CTC|0.21||District Wide|Spokane Falls|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Okanogan|4 Year|0.2||District Wide|EWU|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Palouse|4 Year|0.38||District Wide|WSU|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Peninsula|2 Year / CTC|0.17||District Wide|Tacoma|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Pullman|2 Year / CTC|0.12||District Wide|Spokane Falls|
2022-23|05121|Port Angeles School District|0|0|2022|West Sound STEM|Renton|2 Year / CTC|0.25||District Wide|Bellevue|
