SchoolYear|DistrictCode|DistrictName|StudentGroup|StudentGroupType|BeginningGrade9|TransferIn|Year1Dropout|Year2Dropout|Year3Dropout|Year4Dropout|Year5Dropout|Year6Dropout|Year7Dropout|TransferOut|FinalCohort|Graduate|GraduationRate|SchoolCode|SchoolName|CohortType|OrganizationLevel|County|ESDName|ESDOrganizationId|DistrictOrganizationId|SchoolOrganizationId|DAT|Cohort|DataAsOf|Horizons.Partner
2014-15|05402|Quillayute Valley School District|All Students|All|77|8|1|4|5|6|0|0|0|4|81|53|0.654320987654321||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|American Indian/ Alaskan Native|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|English Language Learners|ELL|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Female|Gender|52|4|0|3|4|4|0|0|0|3|53|35|0.660377358490566||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Foster Care|Foster|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Hispanic/ Latino of any race(s)|Race|19|4|0|0|1|1|0|0|0|2|21|13|0.619047619047619||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Homeless|Homeless|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Low-Income|LowIncome|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Male|Gender|25|4|1|1|1|2|0|0|0|1|28|18|0.642857142857143||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Migrant|Migrant|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Non Migrant|Migrant|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Non Section 504|504|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Non-English Language Learners|ELL|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Non-Foster Care|Foster|77|8|1|4|5|6|0|0|0|4|81|53|0.654320987654321||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Non-Homeless|Homeless|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Non-Low Income|LowIncome|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Section 504|504|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Students with Disabilities|sped|16|2|0|1|2|2|0|0|0|1|17|8|0.470588235294118||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Students without Disabilities|sped|61|6|1|3|3|4|0|0|0|3|64|45|0.703125||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|Two or More Races|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2014-15|05402|Quillayute Valley School District|White|Race|45|1|1|3|1|3|0|0|0|1|45|32|0.711111111111111||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|All Students|All|55|6|3|2|2|2|0|0|0|4|57|37|0.649122807017544||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|American Indian/ Alaskan Native|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Asian|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|English Language Learners|ELL|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Female|Gender|25|4|1|1|1|1|0|0|0|4|25|17|0.68||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Foster Care|Foster|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Hispanic/ Latino of any race(s)|Race|15|3|0|1|0|2|0|0|0|2|16|10|0.625||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Homeless|Homeless|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Low-Income|LowIncome|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Male|Gender|30|2|2|1|1|1|0|0|0|0|32|20|0.625||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Migrant|Migrant|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Non Migrant|Migrant|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Non Section 504|504|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Non-English Language Learners|ELL|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Non-Foster Care|Foster|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Non-Homeless|Homeless|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Non-Low Income|LowIncome|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Section 504|504|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Students with Disabilities|sped|11|0|1|1|0|1|0|0|0|0|11|5|0.454545454545455||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Students without Disabilities|sped|44|6|2|1|2|1|0|0|0|4|46|32|0.695652173913043||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|Two or More Races|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2015-16|05402|Quillayute Valley School District|White|Race|30|1|3|0|1|0|0|0|0|1|30|20|0.666666666666667||District Total|Four Year||||||||||PREP - Tier 1
2016-17|05402|Quillayute Valley School District|All Students|All|75|9|0|0|3|7|0|0|0|5|79|60|0.759493670886076||District Total|Four Year||||||||||PREP - Tier 1
2016-17|05402|Quillayute Valley School District|American Indian/ Alaskan Native|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2016-17|05402|Quillayute Valley School District|Asian|Race|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
2016-17|05402|Quillayute Valley School District|English Language Learners|ELL|0|0|0|0|0|0|0|0|0|0|0|0|||District Total|Four Year||||||||||PREP - Tier 1
