SchoolYear|OrganizationLevel|County|ESDName|ESDOrganizationID|DistrictCode|DistrictName|DistrictOrganizationId|SchoolCode|SchoolName|SchoolOrganizationId|CurrentSchoolType|StudentGroupType|StudentGroup|GradeLevel|Measure|DATReason|Numerator|Denominator|APCourseNumber|APCoursePercent|IBCourseNumber|IBCoursePercent|CIHSCourseNumber|CIHSCoursePercent|CambridgeCourseNumber|CambridgeCoursePercent|RunningStartCourseNumber|RunningStartCoursePercent|CTECourseNumber|CTECoursePercent|DataAsOf|Percent|Horizons.Partner
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||AllStudents|All Students|All Grades|Dual Credit|None|823|1342|515|0.383755589|||19|0.014157973|||75|0.055886736|408|0.304023845|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||EnglishLearner|English Language Learners|All Grades|Dual Credit|None|7|13|3|0.230769231|||||||||6|0.461538462|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||EnglishLearner|Non-English Language Learners|All Grades|Dual Credit|None|816|1329|512|0.385252069|||17|0.012791573|||75|0.056433409|402|0.30248307|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|American Indian/ Alaskan Native|All Grades|Dual Credit|N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|Asian|All Grades|Dual Credit|None|46|64|25|0.390625|||||||||30|0.46875|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|Black/ African American|All Grades|Dual Credit|Cross Student Group - N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|Hispanic/ Latino of any race(s)|All Grades|Dual Credit|None|65|120|31|0.258333333|||4|0.033333333|||9|0.075|36|0.3|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|Native Hawaiian/ Other Pacific Islander|All Grades|Dual Credit|N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|Two or More Races|All Grades|Dual Credit|None|74|122|45|0.368852459|||||||6|0.049180328|36|0.295081967|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||FederalRaceEthnicity|White|All Grades|Dual Credit|None|625|1014|408|0.402366864|||13|0.012820513|||55|0.054240631|300|0.295857988|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Foster|Foster Care|All Grades|Dual Credit|None|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Foster|Non-Foster Care|All Grades|Dual Credit|None|823|1342|515|0.383755589|||19|0.014157973|||75|0.055886736|408|0.304023845|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Gender|Female|All Grades|Dual Credit|Cross Student Group - N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Gender|Gender X|All Grades|Dual Credit|N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Gender|Male|All Grades|Dual Credit|None|447|720|271|0.376388889|||10|0.013888889|||34|0.047222222|244|0.338888889|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||HiCAP|Highly Capable|All Grades|Dual Credit|None|133|196|103|0.525510204|||||||9|0.045918367|47|0.239795918|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||HiCAP|Non-Highly Capable|All Grades|Dual Credit|None|690|1146|412|0.359511344|||18|0.015706806|||66|0.057591623|361|0.315008726|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Homeless|Homeless|All Grades|Dual Credit|N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Homeless|Non-Homeless|All Grades|Dual Credit|Cross Student Group - N<10|||||||||||||||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Income|Low-Income|All Grades|Dual Credit|None|89|167|46|0.275449102|||3|0.017964072|||14|0.083832335|46|0.275449102|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Income|Non-Low Income|All Grades|Dual Credit|None|734|1175|469|0.399148936|||16|0.013617021|||61|0.051914894|362|0.308085106|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Migrant|Non Migrant|All Grades|Dual Credit|None|823|1342|515|0.383755589|||19|0.014157973|||75|0.055886736|408|0.304023845|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||MilitaryFamily|Military Parent|All Grades|Dual Credit|None|5|13|||||||||3|0.230769231|||12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||MilitaryFamily|Non Military Parent|All Grades|Dual Credit|None|818|1329|514|0.38675696|||19|0.014296464|||72|0.054176072|407|0.306245297|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||SWD|Students with Disabilities|All Grades|Dual Credit|None|37|134|20|0.149253731|||||||||22|0.164179104|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||SWD|Students without Disabilities|All Grades|Dual Credit|None|786|1208|495|0.409768212|||17|0.014072848|||73|0.060430464|386|0.319536424|12/21/2023 0:00||West Sound STEM
2022-23|District|Kitsap|Puget Sound Educational Service District 121|100006|18303|Bainbridge Island School District|100006||District Total|||Section504|Non Section 504|All Grades|Dual Credit|None|640|1037|400|0.385728062|||15|0.014464802|||59|0.056894889|319|0.307618129|12/21/2023 0:00||West Sound STEM
