SchoolYear|DistrictCode|Gradelevel|All.Students|Female|Male|Gender.X|American.Indian.Alaskan.Native|Asian|Black.African.American|Hispanic.Latino.of.any.race.s.|Native.Hawaiian.Other.Pacific.Islander|Two.or.More.Races|White|English.Language.Learners|Non.English.Language.Learners|Foster.Care|Non.Foster.Care|Highly.Capable|Non.Highly.Capable|Homeless|Non.Homeless|Low.Income|Non.Low.Income|Migrant|Non.Migrant|Military.Parent|Non.Military.Parent|Mobile|Non.Mobile|Section.504|Non.Section.504|Students.with.Disabilities|Students.without.Disabilities|ERDC.DistrictTTL|Horizons.Partner
2014-15|05402|12th Grade|117|61|56|0|13|0|0|33|0|11|60|2|115|0|0|1|116|11|106|64|53|1|116|0|117|16|101|1|116|27|90|Quillayute Valley|West Sound STEM
2015-16|05402|12th Grade|89|42|47|0|10|3|0|27|0|6|43|2|87|0|0|6|83|3|86|45|44|0|89|0|89|8|81|3|86|18|71|Quillayute Valley|West Sound STEM
2016-17|05402|12th Grade|115|49|66|0|9|1|0|35|0|17|53|7|108|0|0|3|112|5|110|60|55|1|114|0|115|12|103|3|112|32|83|Quillayute Valley|West Sound STEM
2017-18|05402|12th Grade|95|46|49|0|16|0|1|28|0|9|41|7|88|0|0|7|88|8|87|61|34|1|94|1|94|7|88|2|93|20|75|Quillayute Valley|West Sound STEM
2018-19|05402|12th Grade|91|39|52|0|9|0|0|21|0|7|54|3|88|0|0|9|82|4|87|52|39|1|90|0|91|3|88|2|89|18|73|Quillayute Valley|West Sound STEM
2019-20|05402|12th Grade|86|53|33|0|3|2|0|30|0|8|43|2|84|0|0|5|81|3|83|48|38|1|85|0|86|7|79|5|81|18|68|Quillayute Valley|West Sound STEM
2020-21|05402|12th Grade|82|36|46|0|8|1|1|29|0|1|42|9|73|0|0|8|74|3|79|52|30|5|77|0|82|1|81|6|76|16|66|Quillayute Valley|West Sound STEM
2021-22|05402|12th Grade|75|37|38|0|3|1|0|29|0|4|38|9|66|0|0|7|68|4|71|59|16|3|72|1|74|7|68|4|71|18|57|Quillayute Valley|West Sound STEM
2022-23|05402|12th Grade|76|32|44|0|1|0|0|26|0|8|41|9|67|0|0|10|66|0|76|35|41|2|74|1|75|7|69|5|71|17|59|Quillayute Valley|West Sound STEM
2023-24|05402|12th Grade|75|33|42|0|6|0|0|28|0|8|33|9|66|0|0|7|68|4|71|44|31|2|73|0|75|8|67|6|69|18|57|Quillayute Valley|West Sound STEM
2024-25|05402|12th Grade|89|49|39|1|4|1|0|34|0|10|39|7|82|0|0|5|84|3|86|47|42|4|85|0|89|8|81|7|82|10|79|Quillayute Valley|West Sound STEM
2014-15|07002|12th Grade|41|24|17|0|2|1|0|3|0|0|35|0|41|0|0|1|40|0|41|26|15|0|41|0|41|2|39|3|38|6|35|Dayton|United Way of the Blue Mountains
2014-15|08401|12th Grade|113|54|59|0|3|3|0|14|1|4|88|2|111|0|0|5|108|0|113|46|67|0|113|0|113|15|98|4|109|13|100|Castle Rock|ESD 112
2014-15|08402|12th Grade|69|47|22|0|0|0|1|2|0|2|64|0|69|0|0|0|69|3|66|30|39|0|69|0|69|3|66|8|61|2|67|Kalama|ESD 112
2014-15|17401|12th Grade|1547|725|822|0|14|257|161|497|49|141|428|145|1402|0|1540|46|1501|66|1481|899|648|2|1545|0|1547|117|1430|48|1499|253|1294|Highline|Puget Sound ESD
2014-15|17406|12th Grade|250|116|134|0|2|83|57|48|9|6|45|74|176|0|250|11|239|17|233|188|62|1|249|0|250|26|224|2|248|26|224|Tukwila|Puget Sound ESD
2014-15|23403|12th Grade|233|117|116|0|2|3|7|23|0|20|178|9|224|0|0|3|230|10|223|111|122|1|232|0|233|18|215|12|221|44|189|North Mason|West Sound STEM
2014-15|05121|12th Grade|354|167|187|0|14|10|1|22|0|37|270|0|354|0|351|0|354|6|348|164|190|0|354|0|354|22|332|13|341|55|299|Port Angeles|West Sound STEM
2014-15|05313|12th Grade|18|7|11|0|1|0|0|0|0|0|17|0|18|0|0|0|18|0|18|8|10|0|18|0|18|0|18|0|18|3|15|Crescent|West Sound STEM
2014-15|05323|12th Grade|282|139|143|0|4|5|0|45|1|30|197|1|281|0|282|10|272|12|270|106|176|0|282|0|282|20|262|7|275|41|241|Sequim|West Sound STEM
2014-15|05401|12th Grade|41|20|21|0|14|0|0|7|0|12|8|0|41|0|0|0|41|0|41|21|20|0|41|0|41|1|40|1|40|2|39|Cape Flattery|West Sound STEM
2014-15|06098|12th Grade|176|79|97|0|0|4|0|2|0|3|167|0|176|0|0|8|168|3|173|36|140|0|176|0|176|5|171|6|170|15|161|Hockinson|ESD 112
2014-15|16048|12th Grade|20|9|11|0|0|0|0|0|0|4|16|0|20|0|0|0|20|0|20|7|13|0|20|0|20|3|17|0|20|3|17|Quilcene|West Sound STEM
2014-15|16050|12th Grade|125|59|66|0|0|2|1|8|0|9|105|1|124|0|121|0|125|0|125|47|78|1|124|0|125|11|114|4|121|20|105|Port Townsend|West Sound STEM
2014-15|17210|12th Grade|1887|960|927|0|12|317|246|382|94|151|685|92|1795|0|1882|0|1887|15|1872|1041|846|2|1885|0|1887|162|1725|53|1834|213|1674|Federal Way|Puget Sound ESD
2014-15|30303|12th Grade|82|37|45|0|5|3|2|8|1|1|62|0|82|0|79|2|80|2|80|34|48|0|82|0|82|4|78|4|78|10|72|Stevenson-Carson|ESD 112
2014-15|36402|12th Grade|24|12|12|0|0|0|1|20|0|0|3|3|21|0|0|0|24|0|24|24|0|4|20|0|24|3|21|0|24|2|22|Prescott|United Way of the Blue Mountains
2014-15|20400|12th Grade|13|6|7|0|0|0|0|1|0|0|12|0|13|0|0|0|13|0|13|0|13|0|13|0|13|2|11|0|13|3|10|Trout Lake|ESD 112
2014-15|20401|12th Grade|3|2|1|0|0|0|0|0|0|0|3|0|3|0|0|0|3|0|3|1|2|0|3|0|3|0|3|0|3|0|3|Glenwood|ESD 112
2014-15|20402|12th Grade|9|4|5|0|0|0|0|0|0|0|9|0|9|0|0|0|9|0|9|4|5|0|9|0|9|1|8|0|9|4|5|Klickitat|ESD 112
2014-15|20405|12th Grade|103|43|60|0|0|2|0|26|0|3|72|8|95|0|0|0|103|3|100|45|58|2|101|0|103|9|94|2|101|17|86|White Salmon Valley|ESD 112
2014-15|20406|12th Grade|13|7|6|0|1|0|0|2|0|0|10|0|13|0|0|0|13|4|9|7|6|1|12|0|13|2|11|0|13|4|9|Lyle|ESD 112
2014-15|35200|12th Grade|56|27|29|0|1|0|1|4|0|2|48|0|56|0|0|0|56|2|54|25|31|0|56|0|56|5|51|2|54|25|31|Wahkiakum|ESD 112
2014-15|36140|12th Grade|637|312|325|0|0|7|10|193|0|9|418|15|622|0|634|0|637|29|608|300|337|9|628|0|637|67|570|17|620|74|563|Walla Walla|United Way of the Blue Mountains
2014-15|36250|12th Grade|65|33|32|0|0|3|1|7|0|0|54|0|65|0|65|0|65|0|65|0|65|0|65|0|65|1|64|0|65|0|65|College Place|United Way of the Blue Mountains
2014-15|18902|12th Grade|14|9|5|0|9|0|0|2|1|1|1|0|14|0|0|0|14|1|13|10|4|1|13|0|14|3|11|0|14|1|13|Suquamish Tribal Education Department|West Sound STEM
2014-15|18400|12th Grade|539|251|288|0|11|23|5|50|2|49|399|7|532|0|538|0|539|11|528|149|390|9|530|0|539|25|514|11|528|67|472|North Kitsap|West Sound STEM
2014-15|18401|12th Grade|991|477|514|0|4|71|28|79|9|166|634|10|981|0|989|0|991|28|963|285|706|0|991|0|991|31|960|46|945|149|842|Central Kitsap|West Sound STEM
2014-15|18402|12th Grade|880|413|467|0|10|31|13|99|12|117|598|3|877|0|872|26|854|45|835|395|485|0|880|0|880|46|834|49|831|123|757|South Kitsap|West Sound STEM
2014-15|18303|12th Grade|348|173|175|0|2|9|4|14|0|21|298|2|346|0|0|25|323|1|347|38|310|0|348|0|348|8|340|30|318|29|319|Bainbridge Island|West Sound STEM
2014-15|25101|12th Grade|69|32|37|0|2|1|0|13|0|3|50|3|66|0|0|3|66|5|64|45|24|7|62|0|69|4|65|4|65|11|58|Ocean Beach|ESD 112
2014-15|25155|12th Grade|57|10|47|0|0|0|3|20|0|3|31|0|57|0|0|0|57|0|57|15|42|5|52|0|57|27|30|1|56|8|49|Naselle-Grays River Valley|ESD 112
2015-16|05121|12th Grade|359|168|191|0|12|7|6|21|0|25|288|2|357|0|355|0|359|8|351|176|183|0|359|0|359|37|322|26|333|49|310|Port Angeles|West Sound STEM
2015-16|05313|12th Grade|13|10|3|0|0|0|0|0|0|1|12|0|13|0|0|0|13|0|13|8|5|0|13|0|13|1|12|0|13|2|11|Crescent|West Sound STEM
2015-16|05323|12th Grade|272|121|151|0|1|7|4|19|0|18|223|1|271|0|272|16|256|16|256|106|166|0|272|0|272|15|257|10|262|33|239|Sequim|West Sound STEM
2015-16|05401|12th Grade|36|17|19|0|12|0|0|7|0|11|6|0|36|0|0|0|36|1|35|24|12|0|36|0|36|0|36|1|35|3|33|Cape Flattery|West Sound STEM
2015-16|06098|12th Grade|184|92|92|0|0|7|3|8|0|2|164|0|184|0|0|8|176|0|184|35|149|0|184|0|184|6|178|4|180|17|167|Hockinson|ESD 112
2015-16|07002|12th Grade|29|20|9|0|1|0|0|7|0|0|21|0|29|0|0|0|29|0|29|18|11|0|29|0|29|3|26|4|25|5|24|Dayton|United Way of the Blue Mountains
2015-16|08401|12th Grade|100|42|58|0|1|0|2|6|1|4|86|1|99|0|0|2|98|3|97|47|53|0|100|0|100|12|88|3|97|21|79|Castle Rock|ESD 112
2015-16|16048|12th Grade|31|11|20|0|0|0|0|3|0|1|27|0|31|0|0|0|31|2|29|14|17|0|31|0|31|2|29|0|31|4|27|Quilcene|West Sound STEM
2015-16|30303|12th Grade|71|38|33|0|1|2|0|8|0|2|58|0|71|0|68|1|70|1|70|26|45|0|71|0|71|7|64|2|69|8|63|Stevenson-Carson|ESD 112
2015-16|35200|12th Grade|33|16|17|0|0|2|2|1|0|1|27|0|33|0|0|0|33|1|32|13|20|0|33|0|33|1|32|2|31|8|25|Wahkiakum|ESD 112
2015-16|36140|12th Grade|658|316|342|0|2|8|7|228|2|13|398|33|625|0|657|30|628|34|624|338|320|16|642|0|658|53|605|12|646|71|587|Walla Walla|United Way of the Blue Mountains
2015-16|36402|12th Grade|24|10|14|0|1|0|0|20|0|0|3|2|22|0|0|0|24|0|24|23|1|4|20|0|24|5|19|0|24|4|20|Prescott|United Way of the Blue Mountains
