DistrictCode|DistrictName|FinalCohort|Graduate|GraduationRate|CohortYearTTL|Horizons.Partner|PSEnrollLevel|Pct|Cohort Enrollment Rate|DemographicGroup|DemographicValue
18303|Bainbridge Island School District|253|243.386|0.962|2023|PREP - Tier 2|2 Year / CTC|0.08|0.07696|Section 504|Not Section 504
18303|Bainbridge Island School District|253|243.386|0.962|2023|PREP - Tier 2|4 Year|0.67|0.64454|Section 504|Not Section 504
18303|Bainbridge Island School District|253|243.386|0.962|2023|PREP - Tier 2|Not Enrolled|0.25|0.2785|Section 504|Not Section 504
18303|Bainbridge Island School District|83|80.178|0.966|2023|PREP - Tier 2|2 Year / CTC|0.14|0.13524|Section 504|Section 504
18303|Bainbridge Island School District|83|80.178|0.966|2023|PREP - Tier 2|4 Year|0.55|0.5313|Section 504|Section 504
18303|Bainbridge Island School District|83|80.178|0.966|2023|PREP - Tier 2|Not Enrolled|0.31|0.33346|Section 504|Section 504
18303|Bainbridge Island School District|327|317|0.96941896|2023|PREP - Tier 2|2 Year / CTC|0.1|0.096941896|All Students|All
18303|Bainbridge Island School District|327|317|0.96941896|2023|PREP - Tier 2|4 Year|0.64|0.6204281344|All Students|All
18303|Bainbridge Island School District|327|317|0.96941896|2023|PREP - Tier 2|Not Enrolled|0.26|0.2826299696|All Students|All
18303|Bainbridge Island School District|153|147.951|0.967|2023|PREP - Tier 2|2 Year / CTC|0.07|0.06769|Gender|Female
18303|Bainbridge Island School District|153|147.951|0.967|2023|PREP - Tier 2|4 Year|0.7|0.6769|Gender|Female
18303|Bainbridge Island School District|153|147.951|0.967|2023|PREP - Tier 2|Not Enrolled|0.22|0.24574|Gender|Female
18303|Bainbridge Island School District|183|177.680232639|0.970930233|2023|PREP - Tier 2|2 Year / CTC|0.12|0.11651162796|Gender|Male
18303|Bainbridge Island School District|183|177.680232639|0.970930233|2023|PREP - Tier 2|4 Year|0.58|0.56313953514|Gender|Male
18303|Bainbridge Island School District|183|177.680232639|0.970930233|2023|PREP - Tier 2|Not Enrolled|0.3|0.3203488369|Gender|Male
18303|Bainbridge Island School District|43|37.41|0.87|2023|PREP - Tier 2|2 Year / CTC|0.23|0.2001|FRPL|FRPL
18303|Bainbridge Island School District|43|37.41|0.87|2023|PREP - Tier 2|4 Year|0.39|0.3393|FRPL|FRPL
18303|Bainbridge Island School District|43|37.41|0.87|2023|PREP - Tier 2|Not Enrolled|0.38|0.4606|FRPL|FRPL
18303|Bainbridge Island School District|293|289.768382284|0.988970588|2023|PREP - Tier 2|2 Year / CTC|0.07|0.06922794116|FRPL|Not FRPL
18303|Bainbridge Island School District|293|289.768382284|0.988970588|2023|PREP - Tier 2|4 Year|0.7|0.6922794116|FRPL|Not FRPL
18303|Bainbridge Island School District|293|289.768382284|0.988970588|2023|PREP - Tier 2|Not Enrolled|0.23|0.23849264724|FRPL|Not FRPL
18303|Bainbridge Island School District|13|10.946|0.842|2023|PREP - Tier 2|2 Year / CTC|0.025|0.02105|Race/Ethnicity|Asian
18303|Bainbridge Island School District|13|10.946|0.842|2023|PREP - Tier 2|4 Year|0.77|0.64834|Race/Ethnicity|Asian
18303|Bainbridge Island School District|13|10.946|0.842|2023|PREP - Tier 2|Not Enrolled|0.17|0.30114|Race/Ethnicity|Asian
18303|Bainbridge Island School District|24|21.336|0.889|2023|PREP - Tier 2|2 Year / CTC|0.19|0.16891|Race/Ethnicity|Hispanic or Latino of any race(s)
18303|Bainbridge Island School District|24|21.336|0.889|2023|PREP - Tier 2|4 Year|0.5|0.4445|Race/Ethnicity|Hispanic or Latino of any race(s)
18303|Bainbridge Island School District|24|21.336|0.889|2023|PREP - Tier 2|Not Enrolled|0.31|0.38659|Race/Ethnicity|Hispanic or Latino of any race(s)
18303|Bainbridge Island School District|32|28.448|0.889|2023|PREP - Tier 2|2 Year / CTC|0.11|0.09779|Race/Ethnicity|Two or More Races
18303|Bainbridge Island School District|32|28.448|0.889|2023|PREP - Tier 2|4 Year|0.63|0.56007|Race/Ethnicity|Two or More Races
18303|Bainbridge Island School District|32|28.448|0.889|2023|PREP - Tier 2|Not Enrolled|0.26|0.34214|Race/Ethnicity|Two or More Races
18303|Bainbridge Island School District|260|251.51020414|0.967346939|2023|PREP - Tier 2|2 Year / CTC|0.08|0.07738775512|Race/Ethnicity|White
18303|Bainbridge Island School District|260|251.51020414|0.967346939|2023|PREP - Tier 2|4 Year|0.67|0.64812244913|Race/Ethnicity|White
18303|Bainbridge Island School District|260|251.51020414|0.967346939|2023|PREP - Tier 2|Not Enrolled|0.25|0.27448979575|Race/Ethnicity|White
05401|Cape Flattery School District|28|24.08|0.86|2023|PREP - Tier 1|2 Year / CTC|0.48|0.4128|All Students|All
05401|Cape Flattery School District|28|24.08|0.86|2023|PREP - Tier 1|4 Year|0.28|0.2408|All Students|All
05401|Cape Flattery School District|28|24.08|0.86|2023|PREP - Tier 1|Not Enrolled|0.24|0.3464|All Students|All
05401|Cape Flattery School District|15|||2023|PREP - Tier 1|2 Year / CTC|0.36||Gender|Female
05401|Cape Flattery School District|15|||2023|PREP - Tier 1|4 Year|0.23||Gender|Female
05401|Cape Flattery School District|15|||2023|PREP - Tier 1|Not Enrolled|0.41||Gender|Female
05401|Cape Flattery School District|13|10.4|0.8|2023|PREP - Tier 1|2 Year / CTC|0.2|0.16|Gender|Male
05401|Cape Flattery School District|13|10.4|0.8|2023|PREP - Tier 1|4 Year|0.27|0.216|Gender|Male
05401|Cape Flattery School District|13|10.4|0.8|2023|PREP - Tier 1|Not Enrolled|0.53|0.624|Gender|Male
05401|Cape Flattery School District|19|16.72|0.88|2023|PREP - Tier 1|2 Year / CTC|0.31|0.2728|FRPL|FRPL
05401|Cape Flattery School District|19|16.72|0.88|2023|PREP - Tier 1|4 Year|0.22|0.1936|FRPL|FRPL
05401|Cape Flattery School District|19|16.72|0.88|2023|PREP - Tier 1|Not Enrolled|0.47|0.5336|FRPL|FRPL
05401|Cape Flattery School District|9|||2023|PREP - Tier 1|2 Year / CTC|0.1||FRPL|Not FRPL
05401|Cape Flattery School District|9|||2023|PREP - Tier 1|4 Year|0.305||FRPL|Not FRPL
05401|Cape Flattery School District|9|||2023|PREP - Tier 1|Not Enrolled|0.505||FRPL|Not FRPL
05401|Cape Flattery School District|10|7.69|0.769|2023|PREP - Tier 1|2 Year / CTC|0.34|0.26146|Race/Ethnicity|American Indian or Alaska Native
05401|Cape Flattery School District|10|7.69|0.769|2023|PREP - Tier 1|4 Year|0.22|0.16918|Race/Ethnicity|American Indian or Alaska Native
05401|Cape Flattery School District|10|7.69|0.769|2023|PREP - Tier 1|Not Enrolled|0.44|0.56936|Race/Ethnicity|American Indian or Alaska Native
08401|Castle Rock School District|104|80.6|0.775|2023|ESD 112|2 Year / CTC|0.23|0.17825|All Students|All
08401|Castle Rock School District|104|80.6|0.775|2023|ESD 112|4 Year|0.19|0.14725|All Students|All
08401|Castle Rock School District|104|80.6|0.775|2023|ESD 112|Not Enrolled|0.58|0.6745|All Students|All
08401|Castle Rock School District|49|36.32758619|0.74137931|2023|ESD 112|2 Year / CTC|0.23|0.1705172413|Gender|Female
08401|Castle Rock School District|49|36.32758619|0.74137931|2023|ESD 112|4 Year|0.3|0.222413793|Gender|Female
08401|Castle Rock School District|49|36.32758619|0.74137931|2023|ESD 112|Not Enrolled|0.47|0.6070689657|Gender|Female
08401|Castle Rock School District|53|42.93|0.81|2023|ESD 112|2 Year / CTC|0.22|0.1782|Gender|Male
08401|Castle Rock School District|53|42.93|0.81|2023|ESD 112|4 Year|0.075|0.06075|Gender|Male
08401|Castle Rock School District|53|42.93|0.81|2023|ESD 112|Not Enrolled|0.67|0.7327|Gender|Male
