Year|MissingDistricts|Source|Horizons.Partner|DistrictName
2014-15|05903|Enrollment_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015-16|05903|Enrollment_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015|08402|FAFSA_Final_Missing_Dis|ESD 112|Kalama
2015|18902|FAFSA_Final_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2016|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2016|08402|FAFSA_Final_Missing_Dis|ESD 112|Kalama
2016|18902|FAFSA_Final_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2017|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2017|08402|FAFSA_Final_Missing_Dis|ESD 112|Kalama
2017|18902|FAFSA_Final_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2018|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2018|18902|FAFSA_Final_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2019|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2019|18902|FAFSA_Final_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2024|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2025|05903|FAFSA_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2020-2021|05903|WSAC_FAFSA_Missing_Dis|West Sound STEM|Quileute Tribal School District
2020-2021|20402|WSAC_FAFSA_Missing_Dis|ESD 112|Klickitat
2021-2022|05903|WSAC_FAFSA_Missing_Dis|West Sound STEM|Quileute Tribal School District
2022-2023|05903|WSAC_FAFSA_Missing_Dis|West Sound STEM|Quileute Tribal School District
2023-2024|05903|WSAC_FAFSA_Missing_Dis|West Sound STEM|Quileute Tribal School District
2024-2025|05903|WSAC_FAFSA_Missing_Dis|West Sound STEM|Quileute Tribal School District
2014-15|05903|RC_Grad_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015-16|05903|RC_Grad_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2014-15|05903|RC_SQSS_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015-16|05903|RC_SQSS_Final_Missing_Dis|West Sound STEM|Quileute Tribal School District
2014|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2014|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2014|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2014|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2014|36250|PS_Enroll_Missing_Dis|United Way of the Blue Mountains|College Place
2015|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2015|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2015|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2015|36250|PS_Enroll_Missing_Dis|United Way of the Blue Mountains|College Place
2016|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2016|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2016|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2016|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2016|36250|PS_Enroll_Missing_Dis|United Way of the Blue Mountains|College Place
2017|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2017|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2017|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2017|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2017|36250|PS_Enroll_Missing_Dis|United Way of the Blue Mountains|College Place
2018|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2018|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2018|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2018|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2019|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2019|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2019|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2019|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2020|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2020|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2020|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2020|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2021|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2021|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2021|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2021|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2021|36402|PS_Enroll_Missing_Dis|United Way of the Blue Mountains|Prescott
2022|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2022|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2022|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2022|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2023|05903|PS_Enroll_Missing_Dis|West Sound STEM|Quileute Tribal School District
2023|18902|PS_Enroll_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2023|20401|PS_Enroll_Missing_Dis|ESD 112|Glenwood
2023|20402|PS_Enroll_Missing_Dis|ESD 112|Klickitat
2023|36402|PS_Enroll_Missing_Dis|United Way of the Blue Mountains|Prescott
2014-15|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2014-15|16048|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quilcene
2014-15|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2014-15|20400|PSInst_Source_Dis_Missing_Dis|ESD 112|Trout Lake
2014-15|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2014-15|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2014-15|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2014-15|36250|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|College Place
2015-16|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2015-16|16048|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quilcene
2015-16|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2015-16|20400|PSInst_Source_Dis_Missing_Dis|ESD 112|Trout Lake
2015-16|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2015-16|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2015-16|20406|PSInst_Source_Dis_Missing_Dis|ESD 112|Lyle
2015-16|36250|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|College Place
2016-17|05313|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Crescent
2016-17|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
2016-17|18902|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Suquamish Tribal Education Department
2016-17|20401|PSInst_Source_Dis_Missing_Dis|ESD 112|Glenwood
2016-17|20402|PSInst_Source_Dis_Missing_Dis|ESD 112|Klickitat
2016-17|36250|PSInst_Source_Dis_Missing_Dis|United Way of the Blue Mountains|College Place
2017-18|05313|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Crescent
2017-18|05903|PSInst_Source_Dis_Missing_Dis|West Sound STEM|Quileute Tribal School District
