SchoolYear|DistrictCode|GradeLevel|All.Students|Female|Gender.X|Male|American.Indian.Alaskan.Native|Asian|Black.African.American|Hispanic.Latino.of.any.race.s.|Native.Hawaiian.Other.Pacific.Islander|Two.or.More.Races|White|English.Language.Learners|Non.English.Language.Learners|Foster.Care|Non.Foster.Care|Highly.Capable|Non.Highly.Capable|Homeless|Non.Homeless|Low.Income|Non.Low.Income|Migrant|Non.Migrant|Military.Parent|Non.Military.Parent|Mobile|Non.Mobile|Section.504|Non.Section.504|Students.with.Disabilities|Students.without.Disabilities|ERDC.DistrictTTL|Horizons.Partner
2023-24|05402|12th Grade|75|33|0|42|6|0|0|28|0|8|33|9|66|0|0|7|68|4|71|44|31|2|73|0|75|8|67|6|69|18|57|Quillayute Valley|West Sound STEM
2023-24|18902|12th Grade|12|5|0|7|8|0|0|0|0|3|1|0|12|0|0|0|12|0|12|8|4|1|11|0|12|0|12|0|12|1|11|Suquamish Tribal Education Department|West Sound STEM
2023-24|18400|12th Grade|481|234|3|244|17|22|7|87|3|48|297|24|457|0|481|67|414|6|475|157|324|3|478|42|439|13|468|39|442|56|425|North Kitsap|West Sound STEM
2023-24|18401|12th Grade|928|442|8|478|3|60|30|118|10|152|555|46|882|0|926|80|848|24|904|338|590|1|927|58|870|26|902|79|849|144|784|Central Kitsap|West Sound STEM
2023-24|18402|12th Grade|739|351|6|382|9|35|8|109|13|81|484|21|718|0|737|48|691|39|700|329|410|0|739|32|707|28|711|82|657|129|610|South Kitsap|West Sound STEM
2023-24|18303|12th Grade|336|153|0|183|1|13|4|24|2|32|260|1|335|0|0|40|296|3|333|43|293|0|336|4|332|4|332|83|253|41|295|Bainbridge Island|West Sound STEM
2023-24|25101|12th Grade|92|38|0|54|0|0|1|21|0|4|66|6|86|0|0|2|90|14|78|59|33|4|88|2|90|4|88|10|82|11|81|Ocean Beach|ESD 112
2023-24|25155|12th Grade|25|15|0|10|1|0|0|4|0|0|20|1|24|0|0|2|23|3|22|17|8|5|20|0|25|1|24|2|23|3|22|Naselle-Grays River Valley|ESD 112
2023-24|20400|12th Grade|18|9|0|9|0|0|0|4|0|1|13|0|18|0|0|2|16|1|17|3|15|0|18|0|18|1|17|2|16|1|17|Trout Lake|ESD 112
2023-24|20401|12th Grade|6|4|0|2|1|0|0|0|0|2|3|0|6|0|0|0|6|0|6|2|4|0|6|0|6|0|6|0|6|0|6|Glenwood|ESD 112
2023-24|20402|12th Grade|6|2|0|4|1|0|0|0|0|0|5|0|6|0|0|0|6|0|6|2|4|0|6|0|6|1|5|1|5|1|5|Klickitat|ESD 112
2023-24|20405|12th Grade|89|32|0|57|1|2|0|36|0|4|46|13|76|0|0|8|81|1|88|41|48|0|89|1|88|4|85|11|78|14|75|White Salmon Valley|ESD 112
2023-24|20406|12th Grade|15|9|0|6|1|0|0|5|0|2|7|1|14|0|0|0|15|1|14|7|8|0|15|0|15|0|15|0|15|3|12|Lyle|ESD 112
2023-24|05903|12th Grade|13|9|0|4|7|0|0|4|0|0|2|0|13|0|0|0|13|0|13|11|2|0|13|1|12|1|12|0|13|5|8|Quileute Tribal School District|West Sound STEM
2023-24|05121|12th Grade|303|127|3|173|14|9|1|33|0|29|217|3|300|0|302|46|257|17|286|183|120|0|303|3|300|7|296|20|283|40|263|Port Angeles|West Sound STEM
2023-24|05313|12th Grade|18|6|0|12|4|1|0|2|0|1|10|0|18|0|0|0|18|0|18|11|7|0|18|0|18|1|17|1|17|4|14|Crescent|West Sound STEM
