DistrictCode|DistrictName|FinalCohort|Graduate|GraduationRate|CohortYearTTL|Horizons.Partner|PSEnrollLevel|Pct|Cohort Enrollment Rate
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.15|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.61|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.31|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.45|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.23|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.36|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.41|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.19|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.3|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.51|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.12|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.59|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.29|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.28|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.48|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.1|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.66|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.18|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.21|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.61|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.13|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.7|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.17|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.19|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.47|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.34|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.21|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.22|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.56|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.23|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.3|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.47|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.29|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.16|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.56|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.1|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.4|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.5|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.15|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.2|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.65|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.26|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.26|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.48|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.15|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.51|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.34|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.27|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.18|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.55|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.22|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.32|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.46|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.38|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.38|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.23|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.16|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.61|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.25|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.26|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.49|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.14|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.35|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.51|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.3|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.13|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.57|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.39|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.37|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.11|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.26|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.63|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.025|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.22|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.77|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.16|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.2|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.64|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.11|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.36|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.53|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.12|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.38|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.5|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.18|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.34|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.48|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.14|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.62|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.24|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.29|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.22|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.49|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.05|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.445|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.445|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.14|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.25|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.61|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.42|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.13|
05121|Port Angeles School District|0|0||2022|West Sound STEM|Not Enrolled|0.45|
05121|Port Angeles School District|0|0||2022|West Sound STEM|2 Year / CTC|0.09|
05121|Port Angeles School District|0|0||2022|West Sound STEM|4 Year|0.22|
