SchoolYear|DistrictCode|DistrictName|StudentGroup|BeginningGrade9|FinalCohort|Graduate|GraduationRate|CohortYearTTL|Horizons.Partner
2023-24|18303|Bainbridge Island School District|All Students|353|327|317|0.96941896|2023|West Sound STEM
2023-24|05401|Cape Flattery School District|All Students||||0.86|2023|West Sound STEM
2023-24|08401|Castle Rock School District|All Students||||0.775|2023|ESD 112
2023-24|18401|Central Kitsap School District|All Students|981|1040|903|0.868269231|2023|West Sound STEM
2023-24|36250|College Place School District|All Students||||0.964|2023|United Way of the Blue Mountains
2023-24|05313|Crescent School District|All Students|||||2023|West Sound STEM
2023-24|07002|Dayton School District|All Students||||0.85|2023|United Way of the Blue Mountains
2023-24|17210|Federal Way School District|All Students|1507|1552|1374|0.885309278|2023|Puget Sound ESD
2023-24|20401|Glenwood School District|All Students|||||2023|ESD 112
2023-24|17401|Highline School District|All Students|1259|1351|1183|0.875647668|2023|Puget Sound ESD
2023-24|06098|Hockinson School District|All Students||||0.981|2023|ESD 112
2023-24|08402|Kalama School District|All Students||||0.86|2023|ESD 112
2023-24|20402|Klickitat School District|All Students|||||2023|ESD 112
2023-24|20406|Lyle School District|All Students||||0.85|2023|ESD 112
2023-24|25155|Naselle-Grays River Valley School District|All Students||||0.875|2023|ESD 112
2023-24|18400|North Kitsap School District|All Students|442|437|391|0.894736842|2023|West Sound STEM
2023-24|23403|North Mason School District|All Students|212|221|183|0.828054299|2023|West Sound STEM
2023-24|25101|Ocean Beach School District|All Students||||0.88|2023|ESD 112
2023-24|05121|Port Angeles School District|All Students|283|272|228|0.838235294|2023|West Sound STEM
2023-24|16050|Port Townsend School District|All Students||||0.857|2023|West Sound STEM
2023-24|36402|Prescott School District|All Students||||0.78|2023|United Way of the Blue Mountains
2023-24|16048|Quilcene School District|All Students||||0.875|2023|West Sound STEM
2023-24|05903|Quileute Tribal School District|All Students||||0.67|2023|West Sound STEM
2023-24|05323|Sequim School District|All Students||||0.839|2023|West Sound STEM
2023-24|18402|South Kitsap School District|All Students|662|651|562|0.86328725|2023|West Sound STEM
2023-24|30303|Stevenson-Carson School District|All Students||||0.79|2023|ESD 112
2023-24|18902|Suquamish Tribal Education Department|All Students||||0.786|2023|West Sound STEM
2023-24|20400|Trout Lake School District|All Students||||0.769|2023|ESD 112
2023-24|17406|Tukwila School District|All Students|195|209|181|0.866028708|2023|Puget Sound ESD
2023-24|35200|Wahkiakum School District|All Students||||0.932|2023|ESD 112
2023-24|36140|Walla Walla Public Schools|All Students|422|427|412|0.964871194|2023|United Way of the Blue Mountains
2023-24|20405|White Salmon Valley School District|All Students||||0.85|2023|ESD 112
2023-24|05402|Quillayute Valley School District|All Students|0|0|0||2023|West Sound STEM
2020-21|18303|Bainbridge Island School District|All Students||||0.955|2020|West Sound STEM
2019-20|18303|Bainbridge Island School District|All Students||||0.96|2019|West Sound STEM
2018-19|18303|Bainbridge Island School District|All Students|356|364|346|0.950549451|2018|West Sound STEM
2017-18|18303|Bainbridge Island School District|All Students|328|343|326|0.950437318|2017|West Sound STEM
2016-17|18303|Bainbridge Island School District|All Students|344|348|333|0.956896552|2016|West Sound STEM
2015-16|18303|Bainbridge Island School District|All Students||||0.96|2015|West Sound STEM
2014-15|18303|Bainbridge Island School District|All Students||||0.954|2014|West Sound STEM
2020-21|05401|Cape Flattery School District|All Students||||0.88|2020|West Sound STEM
2019-20|05401|Cape Flattery School District|All Students||||0.906|2019|West Sound STEM
2018-19|05401|Cape Flattery School District|All Students||||0.9|2018|West Sound STEM
2017-18|05401|Cape Flattery School District|All Students||||0.921|2017|West Sound STEM
2016-17|05401|Cape Flattery School District|All Students||||0.917|2016|West Sound STEM
2015-16|05401|Cape Flattery School District|All Students||||0.91|2015|West Sound STEM
2014-15|05401|Cape Flattery School District|All Students||||0.85|2014|West Sound STEM
2020-21|08401|Castle Rock School District|All Students||||0.892|2020|ESD 112
2019-20|08401|Castle Rock School District|All Students||||0.896|2019|ESD 112
2018-19|08401|Castle Rock School District|All Students|104|111|92|0.828828829|2018|ESD 112
2017-18|08401|Castle Rock School District|All Students|106|102|83|0.81372549|2017|ESD 112
2016-17|08401|Castle Rock School District|All Students|83|87|66|0.75862069|2016|ESD 112
2015-16|08401|Castle Rock School District|All Students|111|109|93|0.853211009|2015|ESD 112
2014-15|08401|Castle Rock School District|All Students|106|114|87|0.763157895|2014|ESD 112
2020-21|18401|Central Kitsap School District|All Students|892|903|832|0.9213732|2020|West Sound STEM
2019-20|18401|Central Kitsap School District|All Students|848|848|779|0.918632075|2019|West Sound STEM
2018-19|18401|Central Kitsap School District|All Students|828|846|783|0.925531915|2018|West Sound STEM
2017-18|18401|Central Kitsap School District|All Students|813|847|763|0.900826446|2017|West Sound STEM
2016-17|18401|Central Kitsap School District|All Students|861|871|771|0.885189437|2016|West Sound STEM
2015-16|18401|Central Kitsap School District|All Students|896|904|823|0.91039823|2015|West Sound STEM
2014-15|18401|Central Kitsap School District|All Students|926|956|832|0.870292887|2014|West Sound STEM
2020-21|36250|College Place School District|All Students||||0.965|2020|United Way of the Blue Mountains
2019-20|36250|College Place School District|All Students||||0.95|2019|United Way of the Blue Mountains
2018-19|36250|College Place School District|All Students||||0.95|2018|United Way of the Blue Mountains
2017-18|36250|College Place School District|All Students|||||2017|United Way of the Blue Mountains
2016-17|36250|College Place School District|All Students|||||2016|United Way of the Blue Mountains
2015-16|36250|College Place School District|All Students|||||2015|United Way of the Blue Mountains
2014-15|36250|College Place School District|All Students|||||2014|United Way of the Blue Mountains
2020-21|05313|Crescent School District|All Students||||0.857|2020|West Sound STEM
2019-20|05313|Crescent School District|All Students||||0.833|2019|West Sound STEM
2018-19|05313|Crescent School District|All Students||||0.833|2018|West Sound STEM
2017-18|05313|Crescent School District|All Students||||0.813|2017|West Sound STEM
2016-17|05313|Crescent School District|All Students||||0.61|2016|West Sound STEM
2015-16|05313|Crescent School District|All Students||||0.85|2015|West Sound STEM
2014-15|05313|Crescent School District|All Students||||0.813|2014|West Sound STEM
2020-21|07002|Dayton School District|All Students||||0.76|2020|United Way of the Blue Mountains
2019-20|07002|Dayton School District|All Students||||0.88|2019|United Way of the Blue Mountains
2018-19|07002|Dayton School District|All Students|23|27|20|0.740740741|2018|United Way of the Blue Mountains
2017-18|07002|Dayton School District|All Students||||0.88|2017|United Way of the Blue Mountains
2016-17|07002|Dayton School District|All Students||||0.88|2016|United Way of the Blue Mountains
2015-16|07002|Dayton School District|All Students||||0.919|2015|United Way of the Blue Mountains
2014-15|07002|Dayton School District|All Students||||0.9|2014|United Way of the Blue Mountains
2020-21|17210|Federal Way School District|All Students|1564|1647|1429|0.86763813|2020|Puget Sound ESD
2019-20|17210|Federal Way School District|All Students|1524|1601|1416|0.88444722|2019|Puget Sound ESD
2018-19|17210|Federal Way School District|All Students|1477|1545|1363|0.882200647|2018|Puget Sound ESD
2017-18|17210|Federal Way School District|All Students|1578|1626|1415|0.870233702|2017|Puget Sound ESD
2016-17|17210|Federal Way School District|All Students|1612|1635|1402|0.857492355|2016|Puget Sound ESD
2015-16|17210|Federal Way School District|All Students|1618|1626|1348|0.82902829|2015|Puget Sound ESD
2014-15|17210|Federal Way School District|All Students|1638|1650|1347|0.816363636|2014|Puget Sound ESD
2020-21|20401|Glenwood School District|All Students|||||2020|ESD 112
2019-20|20401|Glenwood School District|All Students|||||2019|ESD 112
2018-19|20401|Glenwood School District|All Students|||||2018|ESD 112
2017-18|20401|Glenwood School District|All Students|||||2017|ESD 112
2016-17|20401|Glenwood School District|All Students|||||2016|ESD 112
2015-16|20401|Glenwood School District|All Students|||||2015|ESD 112
2014-15|20401|Glenwood School District|All Students|||||2014|ESD 112
2020-21|17401|Highline School District|All Students|1298|1359|1193|0.877851361|2020|Puget Sound ESD
2019-20|17401|Highline School District|All Students|1178|1291|1117|0.865220759|2019|Puget Sound ESD
2018-19|17401|Highline School District|All Students|1300|1383|1187|0.858279103|2018|Puget Sound ESD
2017-18|17401|Highline School District|All Students|1177|1280|1076|0.840625|2017|Puget Sound ESD
2016-17|17401|Highline School District|All Students|1142|1224|996|0.81372549|2016|Puget Sound ESD
2015-16|17401|Highline School District|All Students|1178|1261|997|0.790642347|2015|Puget Sound ESD
2014-15|17401|Highline School District|All Students|1277|1361|984|0.722997796|2014|Puget Sound ESD
