District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,10,0,0,0,6,Walla Walla School District,2018-19,0.642
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,10,0,0,0,5,Walla Walla School District,2020-21,0.471
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,10,0,0,0,5,Walla Walla School District,2019-20,0.534
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,10,0,0,0,5,Walla Walla School District,2021-22,0.501
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,18,18,0,0,12,Walla Walla School District,2016-17,0.652
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,10,0,0,0,6,Walla Walla School District,2017-18,0.635
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,0,0,0,0,0,Walla Walla School District,2022-23,0
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,58,39,0,0,19,Walla Walla School District,2014-15,0.327586207
36140,2407,Alternative Education Program,Alternative Education Program,Walla Walla School District,Walla Walla,United Way of the Blue Mountains,Walla Walla School District,Alternative Education Program,42,30,0,0,12,Walla Walla School District,2015-16,0.285714286
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,300,131,0,0,166,Bainbridge Island School District,2016-17,0.553
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,331,116,0,0,212,Bainbridge Island School District,2019-20,0.639
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,330,117,0,0,198,Bainbridge Island School District,2021-22,0.601
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,332,132,0,0,194,Bainbridge Island School District,2017-18,0.585
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,338,131,0,0,203,Bainbridge Island School District,2020-21,0.601
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,275,90,0,0,173,Bainbridge Island School District,2018-19,0.629
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,272,113,0,0,159,Bainbridge Island School District,2014-15,0.584558824
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,296,111,0,0,185,Bainbridge Island School District,2022-23,0.625
18303,2395,Bainbridge High School,Bainbridge High School,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge High School,296,118,0,0,178,Bainbridge Island School District,2015-16,0.601351351
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,10,0,0,0,6,Bainbridge Island School District,2016-17,0.553
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,10,0,0,0,6,Bainbridge Island School District,2019-20,0.639
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,10,0,0,0,6,Bainbridge Island School District,2021-22,0.601
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,10,0,0,0,6,Bainbridge Island School District,2017-18,0.585
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,10,0,0,0,6,Bainbridge Island School District,2020-21,0.601
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,10,0,0,0,6,Bainbridge Island School District,2018-19,0.629
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,0,0,0,0,0,Bainbridge Island School District,2022-23,0
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,0,0,0,0,0,Bainbridge Island School District,2015-16,0
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,176,147,0,0,70,Central Kitsap School District,2020-21,0.4
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,70,70,0,0,33,Central Kitsap School District,2017-18,0.472
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,90,70,0,0,43,Central Kitsap School District,2018-19,0.479
