SchoolYear|OrganizationName|OrganizationLevel|County|ESDName|DistrictCode|DistrictName|DistrictOrganizationId|SchoolCode|SchoolName|SchoolOrganizationId|CurrentSchoolType|StudentGroupType|StudentGroup|GradeLevel|Measure|DAT_Reason|Label|Percent|Numerator|Denominator|APCourseNumber|IBCourseNumber|CIHSCourseNumber|CambridgeCourseNumber|CTECourseNumber|RunningStartCourseNumber|APCoursePercent|IBCoursePercent|CIHSCoursePercent|CambridgeCoursePercent|CTECoursePercent|RunningStartCoursePercent|DataAsOf|Horizons.Partner|ESDOrganizationID|DATReason
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Federal Race Ethnicity|Black/African American|All Grades|Dual Credit|N<10|N<10||||||||||||||||12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Federal Race Ethnicity|Asian|All Grades|Dual Credit|None|69.20%|0.6923|36|52|32|0|1|0|14|1|0.615|0.058|0.058|0.058|0.269|0.058|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Federal Race Ethnicity|White|All Grades|Dual Credit|None|61.50%|0.6152|598|972|438|0|11|0|256|28|0.451|0.003|0.011|0.003|0.263|0.029|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Highly Capable Status|Non-Highly Capable|All Grades|Dual Credit|None|59.50%|0.595|639|1074|436|0|13|0|300|38|0.406|0.003|0.012|0.003|0.279|0.035|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Low Income Status|Non-Low Income|All Grades|Dual Credit|None|62.40%|0.6241|699|1120|510|0|8|0|301|34|0.455|0.003|0.007|0.003|0.269|0.03|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Section 504 Status|Non-Section 504|All Grades|Dual Credit|None|63.50%|0.6352|592|932|422|0|10|0|252|31|0.453|0.003|0.011|0.003|0.27|0.033|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Student With Disabilities Status|Students without Disabilities|All Grades|Dual Credit|None|65.00%|0.6498|744|1145|538|0|10|0|318|38|0.47|0.003|0.009|0.003|0.278|0.033|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Gender|Gender X|All Grades|Dual Credit|None|27.30%|0.2727|6|22|5|0|0|0|2|0|0.227|0.13|0.13|0.13|0.13|0.13|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Military Parent Status|Military Parent|All Grades|Dual Credit|None|62.50%|0.625|10|16|4|0|0|0|6|2|0.25|0.176|0.176|0.176|0.375|0.176|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Highly Capable Status|Highly Capable|All Grades|Dual Credit|None|73.30%|0.733|140|191|120|0|0|0|39|3|0.628|0.016|0.016|0.016|0.204|0.016|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Federal Race Ethnicity|Two or More Races|All Grades|Dual Credit|None|61.20%|0.6121|71|116|47|0|0|0|32|3|0.405|0.026|0.026|0.026|0.276|0.026|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Gender|Male|All Grades|Dual Credit|None|63.90%|0.6393|429|671|292|0|7|0|213|16|0.435|0.004|0.01|0.004|0.317|0.024|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Gender|Female|All Grades|Dual Credit|None|60.10%|0.6014|344|572|259|0|6|0|124|25|0.453|0.005|0.01|0.005|0.217|0.044|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Mobile Status|Mobile|All Grades|Dual Credit|Top/Bottom Range: <27.3%|<27.3%|0.2727|||||||||0.273|0.273|0.273|0.273|0.273|0.273|12/18/2024 0:00|West Sound STEM||
2023-24|Bainbridge Island School District|District|Kitsap|Puget Sound Educational Service District 121|18303|Bainbridge Island School District|100006||District Total|||Section 504 Status|Section 504|All Grades|Dual Credit|None|56.20%|0.5616|187|333|134|0|3|0|87|10|0.402|0.009|0.009|0.009|0.261|0.03|12/18/2024 0:00|West Sound STEM||
